cc_num,is_fraud
2291163933867244,0
3573030041201292,0
3598215285024754,0
3591919803438423,0
3526826139003047,0
30407675418785,0
213180742685905,0
3589289942931264,0
3596357274378601,0
3546897637165774,0
2242542703101233,0
571465035400,0
6593250708747804,0
4988304376504,0
6011504998544485,0
4570636521433188,0
4906628655840914250,0
4908846471916297,0
4861310130652566408,0
6538441737335434,0
2283743876903625,0
4560004149983868183,0
4562827002127,0
213153151785052,0
372509258176510,0
6011148190095209,0
6011917798331152,0
3577663406369449,0
3502377050801561,0
180040027502291,0
379897244598068,0
180048185037117,0
4302475216404898,0
180036456789979,0
180065479077096,0
6517217825320610,0
4683520018489354,0
501899453424,0
6011348830550197,0
213195754007681,0
2712209726293386,0
503874407318,0
676369110710,0
4783226709001,0
375848982312810,0
30270432095985,0
6011149206456997,0
4110266553600176127,0
675990301623,0
377026671291680,0
6011934240159560,0
3519607465576254,0
571465035400,0
6011652924285713,0
4116554952971686,0
4855488158131690372,0
4599735407877245080,0
561942763351,0
2227671554547514,0
2296006538441789,0
36722699017270,0
213156747557083,0
3567697931646329,0
4988304376504,0
213157767990030,0
4509922033272157,0
30044330818990,0
3502377050801561,0
4710826438164847414,0
4653879239169997,0
4956828990005111019,0
3590736522064285,0
4755696071492,0
3542162746848552,0
30234966027947,0
180042946491150,0
4149238353975790,0
3583793405872580,0
3575789281659026,0
3553629419254918,0
375248307838179,0
4427805710168,0
371985236239474,0
6011348830550197,0
676275912597,0
4173950183554608,0
6011197122270059,0
4223708906367574214,0
675961917837,0
630425673344,0
4708992452821239,0
30234966027947,0
377234009633447,0
4294040533480516,0
180018375329178,0
6011438889172900,0
5501083170975659,0
6011104316292105,0
374930071163758,0
4500002361389,0
6592074504369261,0
4400011257587661852,0
30570197515105,0
6011652924285713,0
4561546772499,0
4119762878330989,0
4810839835482794272,0
4191109180926792,0
676195318214,0
4128730454058057622,0
4681699462969,0
3523843138706408,0
4587657402165341815,0
6011860238257910,0
3576431665303017,0
30199621383748,0
3540017235499519,0
213161869125933,0
36913587729122,0
2720433095629877,0
4584931703207308232,0
4536996888716062123,0
3518234918950662,0
3546674063249004,0
3533177016567295,0
4900628639996,0
38947654498698,0
3547560454237873,0
378278619832195,0
3513618443244549,1
2296006538441789,0
630484879808,0
376445266762684,0
4683638447911,0
4503101193493052864,0
4259996134423,0
630424987505,0
348789608637806,0
3587960728692500,0
6538441737335434,0
4260128500325,0
4189814094741,0
371009169330125,0
2227671554547514,0
5456776410929288,0
3556613125071656,0
4653879239169997,0
4653879239169997,0
6593250708747804,0
4990494243023,0
3518669219150142,0
4710826438164847414,0
